hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334481985,Hero(BTN),171BB,Qs 5d,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334481963,Hero(MP),171BB,4c Jh,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334481935,Hero(CO),171BB,Js 7c,5d 5c 8s,9c,Kc,Opp(MP): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(MP): checks; ,5.6BB,Opp(BB): checks; Opp(MP): checks; ,5.6BB,Opp(BB): checks; Opp(MP): checks; f85679bb: shows [Jd Td] (Pair of Fives); a8e12c85: shows [Qd 7d] (Pair of Fives); ,5.6BB,0BB,5.6BB
RC3334481908,Hero(MP),171BB,8h 9s,6s 7s Qs,9c,Ac,Opp(SB): raises 3.0BB; Opp(BB): calls 2.0BB; ,6.4BB,Opp(SB): checks; Opp(BB): checks; ,6.4BB,Opp(SB): bets 3.2BB; Opp(BB): calls 3.2BB; ,12.8BB,Opp(SB): checks; Opp(BB): checks; 1d0217bc: shows [6d 4d] (Pair of Sixes); e0a9129e: shows [Jh Jc] (Pair of Jacks); ,12.8BB,0BB,12.4BB
RC3334481885,Hero(UTG),171BB,2d 5h,Kd Tc 8s,,,Opp(CO): raises 2.0BB; Opp(SB): raises 6.0BB; Opp(CO): calls 4.0BB; ,13.4BB,Opp(SB): bets 4.6BB; ,13.4BB,,0BB,,0BB,0BB,13.0BB
RC3334481848,Hero(BTN),171BB,Td 4d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334481821,Hero(BB),172BB,4s 3h,,,,Opp(SB): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.0BB
RC3334481602,Hero(SB),171BB,Jh Th,8h 3s Jd,,,Hero: calls 0.6BB; Opp(BB): checks; ,2.0BB,Hero: bets 1.0BB; ,2.0BB,,0BB,,0BB,1.0BB,2.0BB
RC3334481576,Hero(SB),172BB,8h Js,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334481529,Hero(MP),172BB,2c Qs,,,,Opp(CO): raises 2.6BB; Opp(SB): raises 10.8BB; ,6.6BB,,0BB,,0BB,,0BB,0BB,6.2BB
RC3334481422,Hero(CO),170BB,Kh Ad,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3334481393,Hero(BTN),170BB,5c 4s,,,,Opp(SB): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334481311,Hero(BB),171BB,7c 3c,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334481214,Hero(UTG),173BB,6h 5h,,,,Hero: raises 2.0BB; Opp(BTN): raises 7.4BB; ,5.4BB,,0BB,,0BB,,0BB,-2.0BB,5.4BB
RC3334481069,Hero(CO),175BB,Ad 4d,,,,Hero: raises 2.0BB; Opp(BB): raises 7.8BB; ,5.4BB,,0BB,,0BB,,0BB,-2.0BB,4.4BB
RC3334481042,Hero(SB),176BB,9h Qh,Qc 9c 3h,5s,7h,Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): checks; ,4.4BB,Opp(BB): bets 1.4BB; Opp(MP): calls 1.4BB; ,7.2BB,Opp(BB): checks; Opp(MP): checks; fcc3c3cc: shows [Tc Ah] (Ace-High); 742ccfee: shows [Ad 9d] (Pair of Nines); ,7.2BB,-0.4BB,7.2BB
RC3334481017,Hero(CO),176BB,6s Jc,3s 2h 8h,,,Opp(SB): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(SB): bets 1.4BB; ,5.6BB,,0BB,,0BB,0BB,5.2BB
RC3334480961,Hero(BB),177BB,2c 6s,9s 2d Th,2h,8s,Opp(CO): raises 2.0BB; Opp(BTN): calls 2.0BB; Opp(SB): calls 1.6BB; ,7.0BB,Opp(SB): checks; Opp(CO): checks; Opp(BTN): bets 2.0BB; Opp(SB): calls 2.0BB; Opp(CO): calls 2.0BB; ,13.0BB,Opp(SB): checks; Opp(CO): checks; Opp(BTN): checks; ,13.0BB,Opp(SB): bets 4.4BB; ,13.0BB,-1.0BB,13.0BB
