hand_id,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_actions,preflop_action_1st_bet,preflop_action_3B,preflop_action_4B,preflop_action_5B,preflop_action_limp,preflop_action_limp_fold,preflop_action_limp_call,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop,IP_Cbet_Flop,OOP_Cbet_Flop,IP_Cbet_Response,OOP_Cbet_Response,OOP_Donk_Flop,Miss_Cbet_OOP,Miss_Cbet_OOP_Response,Miss_Cbet_IP,Miss_Cbet_IP_Response
RC3334598079,Hero(CO),NA,,,SRP,NO,fold,155BB,3c 6h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334598036,Hero(BTN),NA,,,SRP,NO,fold,155BB,3d Ts,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): raises 2.4BB; Opp(BB): folds,Opp(SB): raises 2.4BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334598007,Hero(CO),NA,,,SRP,NO,fold,155BB,2d 7h,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(MP): raises 3.0BB; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334597962,Hero(BTN),NA,,,SRP,NO,fold,153BB,2h 9c,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): raises 2.2BB; Opp(BB): folds,Opp(SB): raises 2.2BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334597930,Hero(BB),IP,,,limped,NO,fold,154BB,9c 7d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB,,,,,,NO,,,,
RC3334597903,Hero(CO),NA,,,3B,NO,1v1,154BB,Ts 9c,$0.02/$0.05,Kd 8h 6c,As,Kc,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): raises 2.2BB; Opp(SB): folds; Opp(BB): raises 4.6BB; Opp(BTN): calls 2.4BB,Opp(BTN): raises 2.2BB; Opp(SB): folds,Opp(BB): raises 4.6BB; Opp(BTN): calls 2.4BB,,,,,,10.6BB,Opp(BB): checks; Opp(BTN): bets 1.0BB; Opp(BB): calls 1.0BB; ,12.6BB,Opp(BB): checks; Opp(BTN): checks; ,12.6BB,Opp(BB): checks; Opp(BTN): bets 8.8BB; Opp(BB): folds; ,12.6BB,0BB,11.6BB,,YES,NO,OOP call,,NO,YES,,,
RC3334597860,Hero(UTG),NA,,,limped,NO,fold,154BB,Ks 6d,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334597766,Hero(SB),NA,,,SRP,NO,fold,155BB,Td Ks,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.2BB; Hero(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.2BB; Hero(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB,,,,,,NO,,,,
RC3334597735,Hero(MP),NA,,,SRP,NO,fold,155BB,5s 9c,$0.02/$0.05,,,,Opp(UTG): raises 2.4BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.4BB; Hero(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334597643,Hero(SB),NA,,,SRP,NO,multi,155BB,9h Ah,$0.02/$0.05,Tc 9d As,Qc,7c,Opp(UTG): folds; Opp(MP): raises 2.0BB; Opp(CO): calls 2.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): calls 1.0BB,Opp(MP): raises 2.0BB; Opp(CO): calls 2.0BB; Opp(BTN): folds; Hero(SB): folds; Opp(BB): calls 1.0BB,,,,,,,6.4BB,Opp(BB): checks; Opp(MP): checks; Opp(CO): checks; ,6.4BB,Opp(BB): checks; Opp(MP): checks; Opp(CO): checks; ,6.4BB,Opp(BB): checks; Opp(MP): bets 3.2BB; Opp(CO): folds; Opp(BB): folds; ,6.4BB,-0.4BB,6.4BB,,NO,NO,,,NO,YES,IP check,YES,
