hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,flop_actions,turn_actions,river_actions,result
RC3334595144,1,8.6,Ad Ks,,,,Opponent: raises $0.05 to $0.1; Hero: raises $0.22 to $0.32; ,,,,Opponent 1
RC3334595116,3,8.65,Js 3h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 1
RC3334595087,2,8.67,3d Ah,Qh 3h Ad,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.25 to $0.38; Opponent: calls $0.33; Opponent: raises $1.14 to $1.52; Opponent: calls $1.14; ,Opponent: bets $1.14; ,,,Opponent collected $3.22 from pot
RC3334595057,4,8.67,Ah 4s,2s 7d 2c,,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; ,Opponent: bets $0.18; ,,,Opponent collected $0.26 from pot
RC3334595026,4,8.67,9h Qd,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.39 to $0.49; Opponent: raises $1.08 to $1.57; ,,,,Opponent 3
RC3334594960,1,8.67,6c Qd,,,,,,,,Opponent 3
RC3334594932,5,8.67,2d Qc,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 6
RC3334594891,2,8.69,3s 8d,,,,,,,,Opponent 3
RC3334594866,4,8.69,Ts Qh,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.21 to $0.31; ,,,,Opponent 1
RC3334564611,3,9.05,Ah Js,As 5h 4d,8h,3h,Opponent: calls $0.03; Hero: raises $0.13 to $0.18; Opponent: calls $0.13; ,Opponent: checks; Hero: bets $0.18; Opponent: calls $0.18; ,Opponent: checks; Hero: checks; ,Opponent: bets $0.72; ,Opponent collected $0.69 from pot
RC3334564587,2,9.07,6h 4c,,,,,,,,Opponent 3
RC3334564559,2,9.09,4s 6c,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.2 to $0.3; ,,,,Opponent 1
RC3334564528,4,9.09,Th 4h,9c 4d 6h,Kc,,Opponent: raises $0.06 to $0.11; Opponent: calls $0.06; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.3; ,,Opponent collected $0.38 from pot
RC3334564501,5,9.09,Ah 2c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334564476,4,9.09,Jc 3c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334564411,2,9.11,Td Kc,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 4
RC3334564385,6,9.11,6s Qd,,,,,,,,Opponent 3
RC3334564345,5,9.11,2h 8h,4h 4c 9d,,,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: bets $0.15; ,,,Opponent collected $0.25 from pot
RC3334564316,4,9.11,Qd 8d,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334564282,5,9.11,2d 7s,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 1
RC3334564249,3,9.16,6d 7c,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334564174,3,9.14,7h Jh,,,,,,,,Opponent 3
RC3334564145,1,9.14,3d Qs,7d Ah 4c,,,Opponent: calls $0.05; Opponent: checks; ,Opponent: checks; Opponent: bets $0.06; ,,,Opponent collected $0.12 from pot
RC3334564092,1,9.14,6s 3d,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.23 to $0.34; ,,,,Opponent 3
RC3334564067,6,9.14,5h 3h,,,,Opponent: raises $0.09 to $0.14; ,,,,Opponent 2
RC3334564036,2,9.16,4h 6h,8s 9c 7c,2d,6s,Opponent: raises $0.06 to $0.11; Opponent: calls $0.06; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Kc Ac] (Ace-High); Opponent: shows [Qd Ks] (King-High); ,Opponent collected $0.23 from pot
RC3334564006,2,9.18,7s 8c,,,,,,,,Opponent 3
RC3334563964,4,9.18,6h 5d,Kc 2d 5c,Ah,,Opponent: raises $0.1 to $0.15; Opponent: calls $0.13; ,Opponent: checks; Opponent: bets $0.18; Opponent: calls $0.18; ,Opponent: checks; Opponent: bets $0.36; ,,Opponent collected $0.68 from pot
RC3334563909,1,9.18,9c Jc,6d 9s Kd,,,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.21; ,,,Opponent collected $0.27 from pot
RC3334563879,5,9.18,8s 6d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334563854,3,9.23,5h 9d,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 5
RC3334563818,5,9.23,5d 7c,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 6
RC3334563765,5,9.23,2s 7s,Jh 8h Ah,3h,Qs,Opponent: raises $0.05 to $0.1; Opponent: calls $0.08; Opponent: calls $0.05; ,Opponent: checks; Opponent: checks; Opponent: bets $0.15; Opponent: calls $0.15; ,Opponent: checks; Opponent: bets $0.3; Opponent: raises $0.6 to $0.9; Opponent: calls $0.6; ,Opponent: checks; Opponent: bets $1.2; ,Opponent collected $2.22 from pot
RC3334563547,3,9.04,4d 4c,2h 3c 5d,6s,6c,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.08; Hero: calls $0.08; ,Hero: checks; Opponent: checks; ,Hero: bets $0.2; ,Hero collected $0.37 from pot
RC3334563518,4,9.04,Qs 2c,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334563440,5,9.04,Ts 8c,Td 3s 7s,2h,8d,Opponent: calls $0.05; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [Tc 9h] (Pair of Tens); Opponent: shows [9c Qc] (Queen-High); ,Opponent collected $0.12 from pot
RC3334563413,5,9.04,3h Ks,8h 4d 4s,,,Opponent: raises $0.08 to $0.13; Opponent: raises $0.24 to $0.37; Opponent: calls $0.24; ,Opponent: bets $0.4; ,,,Opponent collected $0.75 from pot
RC3334563090,1,9.15,Qs 6s,As Ks 3h,Td,4h,Hero: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Hero: bets $0.08; Opponent: calls $0.08; ,Opponent: checks; Hero: checks; ,Opponent: checks; Hero: checks; Opponent: shows [Ad 6d] (Pair of Aces); Hero: shows [Qs 6s] (Ace-High); ,Opponent collected $0.37 from pot
RC3334563064,4,9.15,2d 3c,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 5
RC3334563036,3,9.2,7c 4h,,,,,,,,Opponent 3
RC3334563006,4,9.2,Js 6d,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 1
RC3334562976,6,9.2,Ts 7h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334562948,2,9.22,5h 8d,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 5
