hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3350622129,Hero(SB),102BB,3h 8d,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3350622111,Hero(BTN),102BB,6c 2d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621999,Hero(BB),100BB,Kd Ah,,,,Opp(SB): raises 2.0BB; Hero: raises 7.2BB; ,5.4BB,,0BB,,0BB,,0BB,1.9BB,4.0BB
RC3350621978,Hero(CO),100BB,3h Ts,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621933,Hero(BTN),100BB,8d 3d,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350621916,Hero(SB),100BB,5s 7h,,,,Opp(CO): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3350621886,Hero(CO),100BB,5s 9d,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621869,Hero(MP),100BB,3d Qc,,,,Opp(BTN): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350621823,Hero(BTN),100BB,9d Kd,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350621791,Hero(BB),100BB,8s 2h,,,,Opp(MP): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3350621773,Hero(SB),100BB,Ad 8s,,,,Opp(UTG): raises 2.2BB; Opp(CO): raises 6.6BB; ,5.8BB,,0BB,,0BB,,0BB,-0.4BB,5.8BB
RC3350621723,Hero(UTG),100BB,8c 3h,,,,Opp(SB): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3350621501,Hero(CO),100BB,9c 9h,Kd 4d 5s,3c,7c,Opp(UTG): raises 2.0BB; Hero: calls 2.0BB; ,5.4BB,Opp(UTG): checks; Hero: checks; ,5.4BB,Opp(UTG): bets 1.8BB; Hero: calls 1.8BB; ,9.0BB,Opp(UTG): bets 6.8BB; ,9.0BB,-3.8BB,9.0BB
RC3350621476,Hero(MP),100BB,8d Ah,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621457,Hero(UTG),100BB,2h 9c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621217,Hero(BB),100BB,Jc Ks,4h 9h 8s,5d,8h,Opp(SB): raises 3.0BB; Hero: calls 2.0BB; ,6.4BB,Opp(SB): checks; Hero: checks; ,6.4BB,Opp(SB): checks; Hero: checks; ,6.4BB,Opp(SB): checks; Hero: checks; f756c1da: shows [7s Ac] (Pair of Eights); Hero: shows [Jc Ks] (Pair of Eights); ,6.4BB,-3.0BB,6.0BB
RC3350621189,Hero(BTN),100BB,5c 9c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621170,Hero(SB),100BB,5d Qs,4s 2h 6d,,,Opp(CO): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(CO): bets 1.2BB; Opp(BB): raises 7.2BB; ,6.8BB,,0BB,,0BB,-0.4BB,6.8BB
RC3350621101,Hero(UTG),100BB,4c 3c,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621065,Hero(MP),100BB,2s 5s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350621018,Hero(BB),100BB,Td 7d,2h 6d Ac,,,Opp(MP): raises 2.0BB; Opp(SB): raises 9.2BB; Opp(MP): calls 7.2BB; ,19.8BB,Opp(SB): bets 10.0BB; ,19.8BB,,0BB,,0BB,-1.0BB,19.4BB
RC3350620980,Hero(BTN),100BB,7s Qs,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620945,Hero(CO),100BB,Qc 4s,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350620685,Hero(SB),100BB,3d 3s,5d 6c 6h,Ah,,Opp(UTG): raises 2.0BB; Hero: calls 1.6BB; ,5.0BB,Hero: checks; Opp(UTG): bets 1.8BB; Hero: calls 1.8BB; ,8.6BB,Hero: checks; Opp(UTG): bets 5.6BB; ,8.6BB,,0BB,-3.8BB,8.6BB
RC3350620646,Hero(CO),100BB,8h Kd,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
