hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334441429,Hero(SB),103BB,4s 9c,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Hero: folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334441386,Hero(CO),103BB,7s 4d,Jc 7h Th,,,Opp(UTG): folds; Opp(MP): raises 2.0BB; Hero: folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): bets 1.6BB; Opp(BB): folds; ,4.4BB,,0BB,,0BB,0BB,4.4BB
RC3334441361,Hero(SB),103BB,7d Qs,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: folds; ,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334441337,Hero(CO),103BB,8d Ah,5h 9s 8h,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero: folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): checks; Opp(MP): bets 1.6BB; Opp(BB): folds; ,4.8BB,,0BB,,0BB,0BB,4.8BB
RC3334441235,Hero(MP),103BB,Ts 8s,,,,Opp(UTG): raises 2.0BB; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334440942,Hero(CO),105BB,Ks As,7d Th 9c,Td,,Opp(UTG): folds; Opp(MP): folds; Hero: raises 2.0BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): bets 2.2BB; Hero: folds; ,4.4BB,,0BB,-2.0BB,4.4BB
RC3334440883,Hero(BB),106BB,3h 8c,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.6BB; Opp(SB): folds; Hero: folds; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334440857,Hero(UTG),106BB,5s 9h,,,,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334440832,Hero(MP),106BB,9h 4d,,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 3.0BB; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334440784,Hero(BTN),106BB,Kc 3d,3h 5h Qd,Qc,Jc,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): raises 2.0BB; Opp(BB): raises 7.8BB; Opp(SB): calls 5.8BB; ,17.0BB,Opp(SB): checks; Opp(BB): bets 7.8BB; Opp(SB): raises 18.2BB; Opp(BB): calls 10.4BB; ,53.4BB,Opp(SB): checks; Opp(BB): bets 17.2BB; Opp(SB): raises 75.4BB; Opp(BB): calls 58.2BB; 6650c8cb: shows [Td Qs] (Three Queens); 942cbe70: shows [Ah As] (Pair of Aces and Pair of Queens); ,204.2BB,,0BB,0BB,202.8BB
